date,station_id,station_name,chl_a_observed,source_count,daily_value_min,daily_value_max,daily_value_std,source_file_count,source_files,source_rows,source_sheets,daily_aggregation_method,is_cross_station_duplicate_candidate,source_observation_count,is_direct_observation,is_satellite_derived,chl_a_unit,is_iqr_outlier,is_high_chl,is_bloom_range_chl,previous_direct_value,direct_gap_days,direct_delta,is_abrupt_observed_transition,qc_exclusion_reason,is_qc_excluded_from_model,is_outlier_removed,chl_a_clean,is_missing_before_imputation,is_iqr_outlier_retained,previous_observation_date,next_observation_date,days_since_last_observation,days_until_next_observation,gap_length_days,is_interpolated,chl_a_filled,is_imputed,imputation_method,imputation_source_count,climatology_source_count,climatology_window_days,imputation_confidence,is_low_support_imputation,is_hpbr_imputed,preprocessing_stage,chl_a_smoothed,has_smoothed_variant,smoothing_delta,abs_smoothing_delta,is_smoothed,smoothing_method,chl_a_model,season
2022-08-22,la_poza,La Poza,4.019,1,4.019,4.019,0.0,1,raw_data/la_poza/la poza.xls,2,html_table_1,single_source,True,1,True,False,ug/L,True,False,False,,,,False,cross_station_duplicate_quarantine,True,True,,True,False,,,,,941,False,,True,iqr_outlier_removed_then_imputed,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-23,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-24,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-25,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-26,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-27,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-28,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-29,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-30,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
2022-08-31,la_poza,La Poza,,0,,,,0,,,,,False,0,False,False,ug/L,False,False,False,,,,False,,False,False,,True,False,,,,,941,False,,True,unfilled_no_prior_observation,0,0,0,missing,True,False,other_imputed,,False,,,False,none,,Winter
